dd/mm/yy hh:mm,latitude n,longitude w,Dublin,year,month,day,hour,minute,date,10_min,20_min,30_min,
01/01/2005 12:25,53.6,-6.65,1,2005,1,1,12,25,2005111225,2005111220,2005111220,200511120,1
01/01/2005 12:25,53.55,-6.7,1,2005,1,1,12,25,2005111225,2005111220,2005111220,200511120,1
01/01/2005 12:25,53.55,-6.7,1,2005,1,1,12,25,2005111225,2005111220,2005111220,200511120,1
01/01/2005 12:25,53.6,-6.65,1,2005,1,1,12,25,2005111225,2005111220,2005111220,200511120,1
01/01/2005 12:25,53.575,-6.65,1,2005,1,1,12,25,2005111225,2005111220,2005111220,200511120,1
01/01/2005 12:25,53.3,-6.75,1,2005,1,1,12,25,2005111225,2005111220,2005111220,200511120,1
01/01/2005 12:25,53.3,-6.75,1,2005,1,1,12,25,2005111225,2005111220,2005111220,200511120,1
01/01/2005 12:29,53.275,-6.75,1,2005,1,1,12,29,2005111229,2005111220,2005111220,200511120,1
01/01/2005 12:29,53.275,-6.7,1,2005,1,1,12,29,2005111229,2005111220,2005111220,200511120,1
01/01/2005 12:29,53.375,-6.7,1,2005,1,1,12,29,2005111229,2005111220,2005111220,200511120,1
01/01/2005 12:29,53.325,-6.65,1,2005,1,1,12,29,2005111229,2005111220,2005111220,200511120,1
01/01/2005 12:35,53.225,-6.6,1,2005,1,1,12,35,2005111235,2005111230,2005111220,2005111230,1
01/01/2005 12:35,53.3,-6.55,1,2005,1,1,12,35,2005111235,2005111230,2005111220,2005111230,1
01/01/2005 12:35,53.25,-6.6,1,2005,1,1,12,35,2005111235,2005111230,2005111220,2005111230,1
01/01/2005 12:35,53.275,-6.5,1,2005,1,1,12,35,2005111235,2005111230,2005111220,2005111230,1
01/01/2005 12:35,53.225,-6.6,1,2005,1,1,12,35,2005111235,2005111230,2005111220,2005111230,1
01/01/2005 12:40,53.3,-6.5,1,2005,1,1,12,40,2005111240,2005111240,2005111240,2005111230,1
01/01/2005 12:40,53.3,-6.45,1,2005,1,1,12,40,2005111240,2005111240,2005111240,2005111230,1
01/01/2005 12:40,53.3,-6.4,1,2005,1,1,12,40,2005111240,2005111240,2005111240,2005111230,1
01/01/2005 12:40,53.35,-6.35,1,2005,1,1,12,40,2005111240,2005111240,2005111240,2005111230,1
01/01/2005 12:40,53.175,-6.5,1,2005,1,1,12,40,2005111240,2005111240,2005111240,2005111230,1
01/01/2005 12:40,53.2,-6.5,1,2005,1,1,12,40,2005111240,2005111240,2005111240,2005111230,1
01/01/2005 12:45,53.275,-6.4,1,2005,1,1,12,45,2005111245,2005111240,2005111240,2005111230,1
01/01/2005 12:45,53.225,-6.4,1,2005,1,1,12,45,2005111245,2005111240,2005111240,2005111230,1
01/01/2005 12:50,53.15,-6.35,1,2005,1,1,12,50,2005111250,2005111250,2005111240,2005111230,1
13/02/2005 09:49,53.2,-6.3,1,2005,2,13,9,49,2005213949,2005213940,2005213940,2005213930,1
22/02/2005 07:34,53.475,-6.7,1,2005,2,22,7,34,2005222734,2005222730,2005222720,2005222730,1
22/02/2005 07:54,53.425,-6.2,1,2005,2,22,7,54,2005222754,2005222750,2005222740,2005222730,1
